open,high,low,last,close,volume,date,symbol,exchange
218.76,224.86,218.375,224.81,220.88,54881.0,2020-06-05T16:15:51+0000,AMGN,IEXG
218.76,224.825,218.375,224.81,220.88,54057.0,2020-06-05T16:10:57+0000,AMGN,IEXG
218.76,224.825,218.375,224.71,220.88,53174.0,2020-06-05T16:05:59+0000,AMGN,IEXG
218.76,224.825,218.375,224.26,220.88,51517.0,2020-06-05T16:00:12+0000,AMGN,IEXG
218.76,224.825,218.375,224.135,220.88,50713.0,2020-06-05T15:55:52+0000,AMGN,IEXG
218.76,224.825,218.375,224.15,220.88,48104.0,2020-06-05T15:45:54+0000,AMGN,IEXG
218.76,224.825,218.375,224.35,220.88,47356.0,2020-06-05T15:40:54+0000,AMGN,IEXG
218.76,224.825,218.375,224.74,220.88,46556.0,2020-06-05T15:35:58+0000,AMGN,IEXG
218.76,224.49,218.375,224.44,220.88,46346.0,2020-06-05T15:35:00+0000,AMGN,IEXG
218.76,224.17,218.375,224.095,220.88,45005.0,2020-06-05T15:30:29+0000,AMGN,IEXG
218.76,223.16,218.375,223.16,220.88,41602.0,2020-06-05T15:20:58+0000,AMGN,IEXG
218.76,223.0,218.375,223.0,220.88,41345.0,2020-06-05T15:20:02+0000,AMGN,IEXG
218.76,222.82,218.375,222.245,220.88,39075.0,2020-06-05T15:10:53+0000,AMGN,IEXG
218.76,222.815,218.375,222.765,220.88,37710.0,2020-06-05T15:05:50+0000,AMGN,IEXG
218.76,222.64,218.375,222.255,220.88,36785.0,2020-06-05T15:00:25+0000,AMGN,IEXG
220.77,223.45,219.21,220.88,221.0,2380963.0,2020-06-05T00:00:00+0000,AMGN,IEXG
220.725,223.24,219.26,220.44,221.0,130164.0,2020-06-04T19:55:56+0000,AMGN,IEXG
220.725,223.24,219.26,220.36,221.0,128596.0,2020-06-04T19:55:01+0000,AMGN,IEXG
220.725,223.24,219.26,219.695,221.0,126389.0,2020-06-04T19:50:49+0000,AMGN,IEXG
220.725,223.24,219.26,219.995,221.0,121427.0,2020-06-04T19:45:36+0000,AMGN,IEXG
220.725,223.24,219.26,220.345,221.0,119800.0,2020-06-04T19:40:50+0000,AMGN,IEXG
220.725,223.24,219.26,220.45,221.0,118125.0,2020-06-04T19:35:49+0000,AMGN,IEXG
220.725,223.24,219.26,219.96,221.0,116564.0,2020-06-04T19:30:13+0000,AMGN,IEXG
220.725,223.24,219.26,219.97,221.0,116196.0,2020-06-04T19:30:02+0000,AMGN,IEXG
220.725,223.24,219.26,219.87,221.0,114780.0,2020-06-04T19:25:49+0000,AMGN,IEXG
220.725,223.24,219.26,219.51,221.0,111707.0,2020-06-04T19:15:46+0000,AMGN,IEXG
220.725,223.24,219.26,219.62,221.0,111504.0,2020-06-04T19:15:00+0000,AMGN,IEXG
220.725,223.24,219.26,219.52,221.0,110599.0,2020-06-04T19:10:56+0000,AMGN,IEXG
