low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,symbol,exchange,date
116.2,118.1,184904.0,,,118.1,,,1.0,AENA.BMEX,BMEX,2020-08-05T00:00:00
113.2,115.7,534389.0,,,115.7,,,1.0,AENA.BMEX,BMEX,2020-08-04T00:00:00
108.5,112.9,284208.0,,,112.9,,,1.0,AENA.BMEX,BMEX,2020-08-03T00:00:00
110.1,110.3,265493.0,,,110.3,,,1.0,AENA.BMEX,BMEX,2020-07-31T00:00:00
112.9,113.9,208525.0,,,113.9,,,1.0,AENA.BMEX,BMEX,2020-07-30T00:00:00
112.9,115.3,1313189.0,,,115.3,,,1.0,AENA.BMEX,BMEX,2020-07-29T00:00:00
114.3,116.7,837711.0,,,116.7,,,1.0,AENA.BMEX,BMEX,2020-07-28T00:00:00
111.3,113.9,196420.0,,,113.9,,,1.0,AENA.BMEX,BMEX,2020-07-27T00:00:00
114.9,116.0,133146.0,,,116.0,,,1.0,AENA.BMEX,BMEX,2020-07-24T00:00:00
116.6,117.6,121546.0,,,117.6,,,1.0,AENA.BMEX,BMEX,2020-07-23T00:00:00
116.8,118.9,126770.0,,,118.9,,,1.0,AENA.BMEX,BMEX,2020-07-22T00:00:00
119.0,120.2,231330.0,,,120.2,,,1.0,AENA.BMEX,BMEX,2020-07-21T00:00:00
118.7,120.3,149678.0,,,120.3,,,1.0,AENA.BMEX,BMEX,2020-07-20T00:00:00
120.2,121.0,132859.0,,,121.0,,,1.0,AENA.BMEX,BMEX,2020-07-17T00:00:00
121.8,122.5,164685.0,,,122.5,,,1.0,AENA.BMEX,BMEX,2020-07-16T00:00:00
120.5,124.1,201756.0,,,124.1,,,1.0,AENA.BMEX,BMEX,2020-07-15T00:00:00
118.3,118.9,167441.0,,,118.9,,,1.0,AENA.BMEX,BMEX,2020-07-14T00:00:00
119.9,121.8,106715.0,,,121.8,,,1.0,AENA.BMEX,BMEX,2020-07-13T00:00:00
118.3,120.0,141269.0,,,120.0,,,1.0,AENA.BMEX,BMEX,2020-07-10T00:00:00
119.6,120.0,122438.0,,,120.0,,,1.0,AENA.BMEX,BMEX,2020-07-09T00:00:00
120.4,122.2,198366.0,,,122.2,,,1.0,AENA.BMEX,BMEX,2020-07-08T00:00:00
122.9,124.4,192765.0,,,124.4,,,1.0,AENA.BMEX,BMEX,2020-07-07T00:00:00
125.9,126.6,119205.0,,,126.6,,,1.0,AENA.BMEX,BMEX,2020-07-06T00:00:00
123.6,124.4,124594.0,,,124.4,,,1.0,AENA.BMEX,BMEX,2020-07-03T00:00:00
121.8,124.6,210585.0,,,124.6,,,1.0,AENA.BMEX,BMEX,2020-07-02T00:00:00
116.9,121.0,213347.0,,,121.0,,,1.0,AENA.BMEX,BMEX,2020-07-01T00:00:00
118.5,118.7,526510.0,,,118.7,,,1.0,AENA.BMEX,BMEX,2020-06-30T00:00:00
117.8,120.0,174540.0,,,120.0,,,1.0,AENA.BMEX,BMEX,2020-06-29T00:00:00
119.3,119.4,432547.0,,,119.4,,,1.0,AENA.BMEX,BMEX,2020-06-26T00:00:00
